Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,YearsSinceCreation,Ratio_Likes,Ratio_Dislikes
Catalog Avatar Creator,ItsMuneeeb,All Ages,19469,3438844,2800000000.0,1,1,2021-07-04,2024-11-05,24,Shopping,1000000.0,124000.0,3,0.8896797153024911,0.11032028469750887
 [HALLOWEEN 🎃] The Mimic,CTStudio,Ages 13+,2709,2911356,988300000.0,1,0,2021-01-15,2024-11-05,45,Survival,982000.0,107000.0,3,0.9017447199265382,0.09825528007346185
[RANKED + MORE] Frisbee Frenzy,johnny cage fan group,All Ages,148,21024,1500000.0,1,0,2023-10-26,2024-11-05,8,Simulation,5265.0,1011.0,1,0.8389101338432122,0.16108986615678778
PIGGY: MiniToon Edition [EPISODE 2!],TaintedMod,All Ages,0,4,44.0,0,0,2024-05-31,2024-07-21,6,Simulation,3.0,0.0,0,1.0,0.0
 Sol's RNG [Era 9],sol's studio,All Ages,22155,635262,765900000.0,1,0,2023-12-03,2024-11-04,20,Simulation,746000.0,101000.0,1,0.8807556080283353,0.1192443919716647
(V 1.0!) Sonic.EXE: Fractured Realms,SonicThe_BlueBlurrr,All Ages,0,33,2799.0,0,1,2024-09-08,2024-10-30,50,Simulation,22.0,1.0,0,0.9565217391304348,0.04347826086956519
🎃Basketball Legends🎃,InfinitySports,All Ages,3445,358703,355700000.0,1,0,2023-07-31,2024-11-05,10,Sports & Racing,241000.0,52000.0,1,0.8225255972696246,0.1774744027303754
[⏰UPDATE] Slap Battles👏,Slap Battles,Ages 9+,9035,2363252,2400000000.0,1,1,2021-02-17,2024-11-02,16,Action,1000000.0,245000.0,3,0.8032128514056225,0.19678714859437751
Nah I'd Win Battlegrounds👊😀,ThanhAnh2022AA,All Ages,21,238,129400.0,0,1,2024-04-29,2024-11-04,10,Simulation,48.0,37.0,0,0.5647058823529412,0.43529411764705883
[🗼UPD] Get Big Simulator,Goofin,All Ages,74,33655,9100000.0,0,0,2024-03-20,2024-11-03,10,Simulation,100000.0,2975.0,0,0.9711094925952901,0.028890507404709886
Vehicle Legends 🏎️ CARS!,QuadraTech,All Ages,5984,2277362,1500000000.0,1,0,2020-01-02,2024-11-04,18,Simulation,1000000.0,70000.0,4,0.9345794392523364,0.06542056074766356
[🥁] Tongue Battles,LDS Fighting,All Ages,2603,217480,131600000.0,1,0,2024-03-12,2024-11-05,18,Action,383000.0,28000.0,0,0.9318734793187348,0.06812652068126523
[🕷️HALLOWEEN🕸️] A Universal Time 3.9 🎃,Universe Time Studio,Ages 13+,14899,1312542,796900000.0,1,0,2020-06-04,2024-11-05,1,RPG,796000.0,134000.0,4,0.8559139784946237,0.1440860215053763
Survive in the Abandoned Caps,lauradevilhenabento2,All Ages,8,50049,2100000.0,1,0,2024-07-18,2024-11-01,20,Survival,1889.0,718.0,0,0.7245876486382815,0.2754123513617185
Studio Lite,ScottSpiritWalker,All Ages,300,53036,15700000.0,0,0,2022-09-20,2024-11-05,1,Simulation,16000.0,3902.0,2,0.803939302582655,0.196060697417345
[🎃 EVENT] Driving Empire 🏎️ Car Racing,Driving Empire by Voldex,All Ages,9627,13733888,1600000000.0,1,0,2019-06-23,2024-11-05,25,Simulation,1000000.0,113000.0,5,0.8984725965858041,0.10152740341419586
🎉 🏆 SUPER GUYS [🎃UPDATE!],SGD GAMES,All Ages,125,93929,9600000.0,0,0,2024-04-06,2024-11-03,12,Party & Casual,1337.0,770.0,0,0.6345514950166113,0.36544850498338866
[🎃] Dungeon Quest! ⚔️ RPG Adventure,Dungeon Quest by Voldex,Ages 9+,5234,4243151,2100000000.0,0,0,2018-09-26,2024-11-02,40,RPG,1000000.0,96000.0,6,0.9124087591240876,0.08759124087591241
weird strict dad [BOOK 2],BlueLoop Studios,All Ages,515,465052,341100000.0,1,0,2023-09-16,2024-09-21,20,Adventure,115000.0,21000.0,1,0.8455882352941176,0.15441176470588236
MeepCity (2017),danodanya12Beta21,All Ages,0,2,68.0,1,1,2024-10-27,2024-10-31,50,Simulation,1.0,0.0,0,1.0,0.0
2 Player Monkey Obby,Certified Monkey Business,All Ages,233,123378,38700000.0,0,1,2024-05-18,2024-07-17,22,Obby & Platformer,27000.0,5362.0,0,0.8343118472282306,0.1656881527717694
[🎃] Super League Soccer,Play! Football,All Ages,7281,457336,599600000.0,1,0,2023-01-17,2024-11-04,14,Sports & Racing,219000.0,46000.0,1,0.8264150943396227,0.17358490566037732
[🎃] untitled boxing game🥊,drowningsome,Ages 9+,6543,793244,675700000.0,1,0,2023-06-02,2024-11-04,20,Sports & Racing,742000.0,119000.0,1,0.8617886178861789,0.1382113821138211
Anime Racing Clicker 🍜,Clicker House,All Ages,240,159360,105700000.0,0,0,2022-08-26,2024-10-21,18,Simulation,81000.0,8088.0,2,0.9092133620689655,0.09078663793103448
[🎃FREE UGC🧻]Skibidi Toilet Battle,Skibidi Toilet Boom Studio,All Ages,3136,786321,66800000.0,1,1,2024-04-16,2024-11-05,25,Strategy,73000.0,3460.0,0,0.9547475804342139,0.04525241956578607
Phantom Forces,StyLiS Studios,Ages 9+,2944,5865429,1600000000.0,0,0,2015-08-31,2024-11-05,32,Shooter,2000000.0,212000.0,9,0.9041591320072333,0.0958408679927667
DEXTER: THE ROBLOX GAME (ALPHA TESTING),BunchOfCube's Stuff,Ages 13+,260,20574,989600.0,0,1,2024-09-24,2024-11-05,1,Simulation,4705.0,407.0,0,0.9203834115805947,0.07961658841940533
⚡Race Clicker,48h Games,All Ages,3377,1196261,799300000.0,0,0,2022-04-05,2024-11-05,25,Sports & Racing,1000000.0,55000.0,2,0.9478672985781991,0.05213270142180093
👑TELANTHRIC EVENT👑 TTD UNITS AND GEMS,xdjdisjs,All Ages,0,37,34100.0,0,1,2024-03-06,2024-03-06,50,Simulation,59.0,126.0,0,0.31891891891891894,0.681081081081081
Neko Cat Amelia [AI],imnotapolloe,All Ages,0,200,23800.0,0,1,2024-04-22,2024-09-27,1,Simulation,77.0,109.0,0,0.41397849462365593,0.586021505376344
SCP Games and SCP Monsters,lolbuih,Ages 9+,3411,575856,623000000.0,1,1,2021-08-14,2024-11-02,20,Roleplay & Avatar Sim,91000.0,23000.0,3,0.7982456140350878,0.20175438596491224
CLUB 63❗,infidialt,All Ages,47,7388,65200.0,1,1,2024-09-02,2024-10-28,50,Simulation,11.0,52.0,0,0.1746031746031746,0.8253968253968254
Last Dawn,Last Dawn Presents,All Ages,277,4081,134300.0,1,1,2024-10-25,2024-11-05,20,Simulation,1589.0,158.0,0,0.909559244419004,0.09044075558099596
Mega Mansion Tycoon 🌴,Wild Atelier,All Ages,3730,1566870,1000000000.0,1,0,2021-12-24,2024-11-05,6,Simulation,765000.0,41000.0,3,0.9491315136476427,0.0508684863523573
[WARSHIP!] Military Tycoon ®,InfinityInteractive,Ages 9+,3978,1733718,761200000.0,1,0,2021-07-31,2024-11-04,12,Simulation,1000000.0,100000.0,3,0.9090909090909091,0.09090909090909094
[💀Decay +🎃Halloween🦇] Heroes World,Heroes World,All Ages,300,757938,221800000.0,0,0,2020-04-23,2024-11-04,14,Action,515000.0,26000.0,4,0.9519408502772643,0.04805914972273573
[JDH] Multiverse Tower Defense!,The ROBO STUDIO,All Ages,42,415,58200.0,0,1,2024-10-22,2024-11-05,15,Simulation,195.0,27.0,0,0.8783783783783784,0.1216216216216216
[STAGE THREE!] 💪 Ninja Challenge [Beta],Ninja Challenge,All Ages,2343,29528,23000000.0,1,0,2024-08-05,2024-11-04,5,Obby & Platformer,27000.0,3911.0,0,0.8734754618097118,0.1265245381902882
WIGGITY WIGGITY WIGGITY WIGGITY WIGGITY WIGGITY...,bluejohn72,All Ages,0,0,5.0,0,1,2024-04-02,2024-04-02,50,Simulation,1.0,1.0,0,0.5,0.5
[ITADORI + NATSU]🔥 Anime Unlimited,AU:R,Ages 13+,40,219774,54600000.0,0,0,2022-06-07,2024-11-05,12,Action,140000.0,29000.0,2,0.8284023668639053,0.17159763313609466
Sprunki Incredibox 3D RP,Hirarez,All Ages,922,1741,461900.0,1,0,2024-10-19,2024-11-04,30,Simulation,283.0,51.0,0,0.8473053892215568,0.15269461077844315
[UPDATE 4] Meme Sea,Meme Sea Group,Ages 9+,17066,297447,418900000.0,1,0,2022-07-18,2024-10-17,12,RPG,298000.0,22000.0,2,0.93125,0.06874999999999998
Human Giraffe,Rdite,All Ages,25,446373,71300000.0,0,0,2019-01-04,2022-12-23,30,Simulation,118000.0,32000.0,3,0.7866666666666666,0.21333333333333337
[UPGRADE] BARRY'S PRISON RUN! (OBBY),PlatinumFalls,All Ages,13093,1197361,2800000000.0,1,1,2022-02-03,2024-11-01,12,Obby & Platformer,279000.0,199000.0,2,0.5836820083682008,0.41631799163179917
[update](96) Find the Hexagons,Hexagon &amp; Miawi Team,All Ages,0,57,8166.0,0,0,2023-06-29,2024-11-02,50,Simulation,23.0,10.0,1,0.696969696969697,0.303030303030303
FORTUNE 777,BASED DEPARTMEΝT,All Ages,0,0,58.0,0,1,2024-04-14,2024-04-14,200,Simulation,3.0,1.0,0,0.75,0.25
ULTRA: Rebirth,Thetalies,All Ages,148,17657,7300000.0,0,0,2022-07-04,2024-11-04,20,Simulation,4541.0,416.0,2,0.9160782731490821,0.08392172685091792
🎃 Tower Defense Simulator 🎃,Paradoxum Games,All Ages,21000,3093968,3600000000.0,1,0,2019-06-05,2024-11-05,30,Strategy,1000000.0,104000.0,5,0.9057971014492754,0.09420289855072461
Roblox: Mine_craft Beta 1.0,chatting app moderators,All Ages,53,5312,2100000.0,1,0,2024-05-12,2024-11-04,16,Simulation,1120.0,586.0,0,0.6565064478311841,0.34349355216881594
a dusty trip [📜QUEST],Jandel's Road Trip,All Ages,10949,1234572,1100000000.0,1,1,2024-02-16,2024-11-03,25,Adventure,1000000.0,139000.0,0,0.8779631255487269,0.12203687445127309
Color Run,Mega Fun game,All Ages,106,151620,171700000.0,0,0,2021-04-06,2023-10-15,12,Party & Casual,36000.0,59000.0,2,0.37894736842105264,0.6210526315789473
⭐ ZENVO! Car Dealership Tycoon,Foxzie,All Ages,8591,3102097,2000000000.0,0,0,2018-03-27,2024-11-05,15,Simulation,1000000.0,101000.0,6,0.9082652134423251,0.09173478655767486
Uplift Games,Uplift Games - SUPPORT,All Ages,0,13,1843.0,0,1,2024-08-24,2024-09-27,50,Simulation,9.0,11.0,0,0.45,0.55
 [ DIVA + 15] TOD 🎃,OofMayy Studios,All Ages,2373,230494,151700000.0,1,1,2023-01-25,2024-11-04,30,Social,73000.0,6868.0,1,0.9140081133870886,0.08599188661291135
Arsenal,ROLVe,Ages 9+,3834,11174747,5600000000.0,0,0,2015-08-18,2024-11-05,16,Shooter,4000000.0,623000.0,9,0.8652390222799048,0.1347609777200952
💪Muscle Legends,Scriptbloxian Studios,Ages 9+,6570,2353665,1800000000.0,0,0,2019-08-09,2024-07-12,20,Simulation,903000.0,131000.0,5,0.8733075435203095,0.12669245647969052
Banana Eats 🎃,RyCitrus,Ages 9+,1458,1792676,692500000.0,1,0,2019-11-23,2024-11-02,10,Survival,428000.0,56000.0,5,0.8842975206611571,0.11570247933884292
💰 Bandit Mansion Tycoon ,HIUH,Ages 9+,1,7820,3600000.0,0,0,2022-11-04,2024-10-06,6,Simulation,1788.0,764.0,2,0.700626959247649,0.29937304075235105
Ez Obby But You Get Kicked If You Die!,Zaviuz,All Ages,5,38899,31700000.0,1,0,2022-01-16,2024-07-14,30,Obby & Platformer,16000.0,17000.0,2,0.48484848484848486,0.5151515151515151
Onett - SSBM,PrincessxPeqchx,All Ages,0,1,44.0,0,1,2024-10-21,2024-10-30,50,Simulation,1.0,0.0,0,1.0,0.0
Berry Avenue 🏠 RP,Amberry Games,All Ages,23566,2324145,4500000000.0,0,0,2022-01-08,2024-11-03,30,Roleplay & Avatar Sim,688000.0,100000.0,2,0.8730964467005076,0.12690355329949243
Moonbase Tycoon,ExppaIt,All Ages,0,3,71.0,1,0,2023-04-15,2024-03-28,2,Simulation,3.0,0.0,1,1.0,0.0
🤖 Robot Inc.,Ninja Dolphin Games,Ages 9+,48,235349,34100000.0,0,0,2019-09-19,2023-10-19,8,Simulation,43000.0,11000.0,4,0.7962962962962963,0.20370370370370372
Bloxy Bingo,Bloxy Bingo,All Ages,1267,977164,302400000.0,0,0,2020-06-28,2024-11-03,80,Party & Casual,247000.0,47000.0,4,0.8401360544217688,0.15986394557823125
Ro-Bio Virus Injection,Saiyco,Ages 9+,132,13169,2800000.0,0,0,2023-08-16,2024-11-05,12,Simulation,2123.0,454.0,1,0.823826154443151,0.176173845556849
Pandemonium Practice,rapandsam,All Ages,18,266,43800.0,1,1,2024-09-01,2024-11-05,30,Simulation,154.0,48.0,0,0.7623762376237624,0.2376237623762376
wolfpaq,Mateusao113,All Ages,0,5,222.0,0,1,2024-10-20,2024-10-20,50,Simulation,6.0,1.0,0,0.8571428571428571,0.1428571428571429
[👔OUTFITS] Chillz's Murder Mystery 2,zun's MM2,All Ages,42,70830,354200.0,1,1,2024-08-04,2024-08-04,12,Simulation,202.0,94.0,0,0.6824324324324325,0.31756756756756754
🌊Tsunami Disaster Survival🌊,Playtad,All Ages,1205,158848,265000000.0,0,0,2022-02-17,2024-06-29,40,Survival,26000.0,15000.0,2,0.6341463414634146,0.36585365853658536
Pirate Tycoon [ALPHA],ItsMuneeeb,All Ages,0,298,34600.0,1,0,2021-03-18,2024-01-01,16,Simulation,213.0,36.0,3,0.8554216867469879,0.14457831325301207
D-DAY,Vision Works,Ages 9+,157,631566,123900000.0,1,0,2017-07-06,2024-11-03,50,Action,217000.0,54000.0,7,0.8007380073800738,0.19926199261992616
SCP-734 The Forgor Baby,Chookster0000,All Ages,0,0,100.0,0,1,2024-01-27,2024-01-28,10,Simulation,1.0,0.0,0,1.0,0.0
[🚨CODES] Ham's MM2,Vicious Beast MM2 Studios,All Ages,101,9719,57900.0,1,1,2024-10-30,2024-10-30,12,Simulation,29.0,7.0,0,0.8055555555555556,0.19444444444444442
Limitless Airline Manager - [V.0.1.11],Extant Notion Entertainment,All Ages,60,25477,3300000.0,0,0,2022-02-26,2024-10-31,1,Simulation,8698.0,1444.0,2,0.8576217708538749,0.14237822914612508
Poppy Playtime GrabPack Test [Flare Gun🔥],kara4ik0294,All Ages,6,2104,1300000.0,1,0,2024-02-10,2024-11-04,5,Simulation,658.0,449.0,0,0.5943992773261066,0.40560072267389335
[🎄RED ONE] Anime Defenders,Small World Games x Anime Defenders,All Ages,69555,686347,3100000000.0,1,0,2024-04-05,2024-11-03,30,Strategy,1000000.0,60000.0,0,0.9433962264150944,0.05660377358490565
Dress To Impress 💜,Dress To Impress Group,All Ages,119995,3294606,4000000000.0,1,0,2023-10-18,2024-11-05,13,Roleplay & Avatar Sim,2000000.0,196000.0,1,0.9107468123861566,0.08925318761384338
DENSITY,Melanak_84,All Ages,0,0,13.0,0,1,2024-03-03,2024-03-22,50,Simulation,0.0,0.0,0,,
Nuke's Digital Circus Roleplay 🎪,Nuke's Games,All Ages,3,16731,1000000.0,0,0,2023-10-29,2024-08-31,25,Roleplay & Avatar Sim,199.0,131.0,1,0.603030303030303,0.396969696969697
DA SLYCE [NEW] ,TILOG GAMES,All Ages,0,0,458.0,1,0,2024-10-31,2024-11-04,35,Simulation,4.0,0.0,0,1.0,0.0
Every Second You Get Older [🎃HALLOWEEN🎃],Children Falling Inc,All Ages,304,92288,87400000.0,0,0,2023-02-05,2024-11-02,20,Simulation,17000.0,9132.0,1,0.6505433950711771,0.3494566049288229
Super Bagel 47,urgrandmother436,All Ages,300,17961,912200.0,0,0,2024-09-01,2024-11-05,80,Simulation,6847.0,469.0,0,0.9358939311098962,0.06410606889010384
Leika Obby Land [Fun Play Game],Leika Management Studio,All Ages,162,129,82100.0,0,1,2024-10-29,2024-11-04,50,Simulation,35.0,3.0,0,0.9210526315789473,0.07894736842105265
🎃 Creatures of Sonaria 🖤 Survive Kaiju Animals,Sonar Studios,Ages 9+,17572,3726894,1000000000.0,0,0,2020-06-26,2024-11-02,75,Roleplay & Avatar Sim,713000.0,73000.0,4,0.9071246819338422,0.09287531806615779
Break In (Story),Cracky4,All Ages,4496,3862666,2500000000.0,1,0,2019-09-10,2023-10-09,45,Adventure,1000000.0,108000.0,4,0.9025270758122743,0.09747292418772568
🎃 Arm Wrestle Simulator,Kubo Games,All Ages,9350,899863,1000000000.0,1,0,2023-04-15,2024-11-05,9,Simulation,1000000.0,58000.0,1,0.945179584120983,0.05482041587901698
🎃 DOORS 👁️,LSPLASH,All Ages,30533,6717882,5700000000.0,1,0,2021-03-14,2024-11-04,40,Survival,3000000.0,291000.0,3,0.9115770282588879,0.08842297174111213
Fantasy Lyte,LS Realm,All Ages,0,4,177.0,0,1,2024-02-13,2024-10-09,14,Simulation,5.0,0.0,0,1.0,0.0
FREE FAKE HEADLESS THIS 2025 (secret game),NoobPh_real,All Ages,3,173,116800.0,0,0,2024-05-28,2024-07-25,15,Simulation,99.0,354.0,0,0.2185430463576159,0.7814569536423841
🎃 RIVALS,Nosniy Games,Ages 9+,49152,13959049,1300000000.0,1,1,2024-05-27,2024-10-31,40,Shooter,2000000.0,124000.0,0,0.9416195856873822,0.05838041431261776
🎃Infectious Smile [HALLOWEEN],laughablehaha,Ages 9+,2991,1940027,974500000.0,1,0,2020-11-22,2024-11-04,35,Survival,528000.0,143000.0,4,0.7868852459016393,0.21311475409836067
ZOONOMALY CHAPTER 5 *OFFICIAL* (FANMADE),AnomalyDev2000,All Ages,1,76986,287200.0,0,1,2024-06-22,2024-10-03,50,Simulation,18.0,26.0,0,0.4090909090909091,0.5909090909090908
Blush Canyon (For Obby King),conormasters,All Ages,784,149087,123100000.0,0,0,2019-05-26,2023-12-29,20,Obby & Platformer,16000.0,18000.0,4,0.47058823529411764,0.5294117647058824
